vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse0,Vitesse1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
22,7.10758,4.18252,7.10758,70,2600,2800,2800,1.19574e+009,100,1.06117e-011,1,-243931,-1.06036e+006,0,0,1,0.0005,0.00308,0,459.9,0.001,6.94821e-018,1.35658e-016,0,0,0.00308,0.0915804,-4.00022e-014,0.000125588,0.711213,1
23,7.1079,1.52245,7.1079,70,2600,2800,2800,1.19665e+009,100,1.89168e-012,1,-521240,-130636,0,0,1,0.0005,0.00322,0,460.25,0.001,6.0016e-018,1.39686e-016,0,0,0.00322,0.0914404,1.08154e-013,0.000169332,0.751996,1
24,7.09768,0,7.09768,70,2600,2800,2800,1.19755e+009,100,1.34367e-016,1,0.034376,-615.1,0,0,1,0.0005,0.00336,0,460.598,0.001,5.39493e-018,1.46093e-016,0,0,0.00336,0.0913004,-2.41059e-015,0.000153153,0.950088,1
25,7.13118,1.49073,7.13118,70,2600,2800,2800,1.19846e+009,100,2.48946e-012,1,-495538,893227,0,0,1,0.0005,0.0035,0,460.947,0.001,2.78602e-018,1.44016e-016,0,0,0.0035,0.0911604,-3.25804e-014,0.000133836,0.821708,1
26,7.12134,0,7.12134,70,2600,2800,2800,1.19937e+009,100,6.42076e-017,1,0.0130049,-614.785,0,0,1,0.0005,0.00364,0,461.295,0.001,7.30782e-019,1.56426e-016,0,0,0.00364,0.0910204,1.25065e-013,0.000147153,0.934262,1
27,7.09754,0.15105,7.09754,70,2600,2800,2800,1.20027e+009,100,5.61284e-014,1,-547159,325438,0,0,1,0.0005,0.00378,0,461.643,0.001,-4.75543e-019,1.67271e-016,0,0,0.00378,0.0908803,-5.71821e-014,0.000163067,0.842215,1
28,7.11454,2.685,7.11454,70,2600,2800,2800,1.20118e+009,100,9.97619e-013,1,-607115,-250798,0,0,1,0.0005,0.00392,0,461.991,0.001,-3.00225e-018,1.58605e-016,0,0,0.00392,0.0907404,1.08136e-013,0.000163888,0.836359,1
29,7.12416,0.490473,7.12416,70,2600,2800,2800,1.20208e+009,100,6.06128e-013,1,433018,533051,0,0,1,0.0005,0.00406,0,462.339,0.001,-4.98246e-019,1.71888e-016,0,0,0.00406,0.0906004,1.94749e-013,0.000162248,0.851363,1
30,7.08798,5.40413,7.08798,70,2600,2800,2800,1.20299e+009,100,9.49457e-012,1,486549,328188,0,0,1,0.0005,0.0042,0,462.687,0.001,-3.41502e-018,1.86554e-016,0,0,0.0042,0.0904604,-8.11213e-014,0.000167216,0.793935,1
31,7.09039,5.55893,7.09039,70,2600,2800,2800,1.20389e+009,100,1.40879e-011,1,-810051,-147277,0,0,1,0.0005,0.00434,0,463.035,0.001,1.04034e-018,1.80258e-016,0,0,0.00434,0.0903203,3.77935e-014,0.000154329,0.935667,1
32,7.10008,3.93055,7.10008,70,2600,2800,2800,1.20479e+009,100,1.16371e-012,1,-828700,-209318,0,0,1,0.0005,0.00448,0,463.383,0.001,4.63862e-019,1.87625e-016,0,0,0.00448,0.0901804,1.35459e-014,0.000145021,0.938795,1
33,7.08724,0.479376,7.08724,70,2600,2800,2800,1.2057e+009,100,7.07821e-013,1,-657235,-477303,0,0,1,0.0005,0.00462,0,463.73,0.001,4.20843e-018,1.90854e-016,0,0,0.00462,0.0900404,2.92895e-014,0.000144781,0.933972,1
34,7.09638,3.3584,7.09638,70,2600,2800,2800,1.2066e+009,100,8.36152e-013,1,964241,14276.3,0,0,1,0.0005,0.00476,0,464.078,0.001,4.86915e-018,1.96897e-016,0,0,0.00476,0.0899004,-6.42687e-014,0.000155896,0.833267,1
35,7.09207,2.65442,7.09207,70,2600,2800,2800,1.2075e+009,100,3.85344e-012,1,637613,237752,0,0,1,0.0005,0.0049,0,464.425,0.001,5.05912e-018,2.00934e-016,0,0,0.0049,0.0897604,2.81954e-014,0.000159028,0.882699,1
