vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse:0,Vitesse:1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
21,7.15653,0.0529737,7.15653,70,2600,2800,2800,1.08788e+009,100,1.04183e-013,1,-185342,971939,0,0,0,0.0005,0.00294,0,418.415,0.001,6.79215e-015,-3.71196e-013,0,0,0.00294,0.0898982,-3.7271e-010,0.000155347,0.853487,1
22,7.10767,4.18269,7.10767,70,2600,2800,2800,1.08868e+009,100,8.22607e-012,1,-243941,-1.06033e+006,0,0,0,0.0005,0.00308,0,418.724,0.001,2.83982e-015,-4.05471e-013,0,0,0.00308,0.0897584,1.19924e-011,0.000125588,0.711213,1
23,7.10862,1.95126,7.10862,70,2600,2800,2800,1.08948e+009,100,2.68575e-012,1,-587057,688628,0,0,0,0.0005,0.00322,0,419.032,0.001,-8.86118e-015,-4.28361e-013,0,0,0.00322,0.0896183,2.36033e-011,0.000169332,0.751996,1
24,7.09811,5.51224,7.09811,70,2600,2800,2800,1.09028e+009,100,1.53093e-011,1,359863,-649659,0,0,0,0.0005,0.00336,0,419.34,0.001,-3.29058e-014,-4.38763e-013,0,0,0.00336,0.0894784,-1.41726e-010,0.000153153,0.950088,1
25,7.13114,1.49072,7.13114,70,2600,2800,2800,1.09109e+009,100,5.99696e-012,1,-495534,893292,0,0,0,0.0005,0.0035,0,419.648,0.001,-2.12168e-014,-4.74671e-013,0,0,0.0035,0.0893383,-2.27521e-010,0.000133836,0.821708,1
26,7.12145,0,7.12145,70,2600,2800,2800,1.09188e+009,100,4.62516e-017,1,0.0139089,-543.26,0,0,0,0.0005,0.00364,0,419.956,0.001,-7.0192e-015,-5.04141e-013,0,0,0.00364,0.0891983,3.4265e-011,0.000147153,0.934262,1
27,7.09763,0.151049,7.09763,70,2600,2800,2800,1.09268e+009,100,4.38683e-014,1,-547154,325506,0,0,0,0.0005,0.00378,0,420.264,0.001,2.17516e-014,-5.14238e-013,0,0,0.00378,0.0890583,-2.03949e-010,0.000163067,0.842215,1
28,7.11465,2.68498,7.11465,70,2600,2800,2800,1.09349e+009,100,7.79785e-013,1,-607109,-250724,0,0,0,0.0005,0.00392,0,420.572,0.001,9.94049e-015,-5.38864e-013,0,0,0.00392,0.0889182,-1.20336e-010,0.000163888,0.836359,1
29,7.12413,0.490471,7.12413,70,2600,2800,2800,1.09428e+009,100,4.78779e-013,1,433016,533121,0,0,0,0.0005,0.00406,0,420.879,0.001,3.45405e-014,-5.61818e-013,0,0,0.00406,0.0887784,-2.02451e-011,0.000162248,0.851363,1
30,7.08796,5.4041,7.08796,70,2600,2800,2800,1.09508e+009,100,1.54347e-011,1,486547,328258,0,0,0,0.0005,0.0042,0,421.187,0.001,4.56014e-015,-6.02223e-013,0,0,0.0042,0.0886383,4.99614e-010,0.000167216,0.793935,1
