intrinsic_carbon intrinsic_chromium	Temperature	PhaseEnthalpy
7.1324 89.4094 1025 372716 
7.1324 89.4094 1030 376669 
7.1324 89.4094 1035 380631 
7.1324 89.4094 1040 384602 
7.1324 89.4094 1045 388583 
7.1324 89.4094 1050 392572 
7.1324 89.4094 1055 396571 
7.1324 89.4094 1060 400578 
7.1324 89.4094 1065 404595 
7.1324 89.4094 1070 408621 
7.1324 89.4094 1075 412657 
7.1324 89.4094 1080 416702 
7.1324 89.4094 1085 420756 
7.1324 89.4094 1090 424819 
7.1324 89.4094 1095 428892 
7.1324 89.4094 1100 432974 
7.1324 89.4094 1105 437065 
7.1324 89.4094 1110 441166 
7.1324 89.4094 1115 445277 
7.1324 89.4094 1120 449397 
7.1324 89.4094 1125 453527 
7.1324 89.4094 1130 457666 
7.1324 89.4094 1135 461816 
7.1324 89.4094 1140 465974 
7.1324 89.4094 1145 470143 
7.1324 89.4094 1150 474321 
7.1324 89.4094 1155 478509 
7.1324 89.4094 1160 482707 
7.1324 89.4094 1165 486915 
7.1324 89.4094 1170 491132 
7.1324 89.4094 1175 495360 
7.1324 89.4094 1180 499597 
7.1324 89.4094 1185 503845 
7.1324 89.4094 1190 508102 
7.1324 89.4094 1195 512370 
7.1324 89.4094 1200 516647 
7.1324 89.4094 1205 520935 
7.1324 89.4094 1210 525233 
7.1324 89.4094 1215 529541 
7.1324 89.4094 1220 533860 
7.1324 89.4094 1225 538189 
7.1324 89.4094 1230 542528 
7.1324 89.4094 1235 546877 
7.1324 89.4094 1240 551237 
7.1324 89.4094 1245 555607 
7.1324 89.4094 1250 559987 
7.1324 89.4094 1255 564378 
7.1324 89.4094 1260 568780 
7.1324 89.4094 1265 573192 
7.1324 89.4094 1270 577615 
7.1324 89.4094 1275 582048 
7.1324 89.4094 1280 586492 
7.1324 89.4094 1285 590947 
7.1324 89.4094 1290 595412 
7.1324 89.4094 1295 599888 
7.1324 89.4094 1300 604375 
7.1324 89.4094 1305 608873 
7.1324 89.4094 1310 613382 
7.1324 89.4094 1315 617901 
7.1324 89.4094 1320 622432 
7.1324 89.4094 1325 626973 
7.1324 89.4094 1330 631526 
7.1324 89.4094 1335 636089 
7.1324 89.4094 1340 640664 
7.1324 89.4094 1345 645250 
7.1324 89.4094 1350 649846 
7.1324 89.4094 1355 654454 
7.1324 89.4094 1360 659074 
7.1324 89.4094 1365 663704 
7.1324 89.4094 1370 668346 
7.1324 89.4094 1375 672999 
7.1324 89.4094 1380 677664 
7.1324 89.4094 1385 682339 
7.1324 89.4094 1390 687027 
7.1324 89.4094 1395 691726 
7.1324 89.4094 1400 696436 
7.1324 89.4094 1405 701158 
7.1324 89.4094 1410 705891 
7.1324 89.4094 1415 710636 
7.1324 89.4094 1420 715393 
7.1324 89.4094 1425 720161 
7.1324 89.4094 1430 724941 
7.1324 89.4094 1435 729733 
7.1324 89.4094 1440 734537 
7.1324 89.4094 1445 739352 
7.1324 89.4094 1450 744180 
7.1324 89.4094 1455 749019 
7.1324 89.4094 1460 753870 
7.1324 89.4094 1465 758733 
7.1324 89.4094 1470 763608 
7.1324 89.4094 1475 768495 
7.1324 89.4094 1480 773395 
7.1324 89.4094 1485 778306 
7.1324 89.4094 1490 783229 
7.1324 89.4094 1495 788165 
7.1324 89.4094 1500 793113 
7.1324 89.4094 1505 798073 
7.1324 89.4094 1510 803046 
7.1324 89.4094 1515 808031 
7.1324 89.4094 1520 813028 
7.1324 89.4094 1525 818037 
7.1324 89.4094 1530 823059 
7.1324 89.4094 1535 828094 
7.1324 89.4094 1540 833141 
7.1324 89.4094 1545 838201 
7.1324 89.4094 1550 843273 
7.1324 89.4094 1555 848358 
7.1324 89.4094 1560 853455 
7.1324 89.4094 1565 858565 
7.1324 89.4094 1570 863688 
7.1324 89.4094 1575 868824 
7.1324 89.4094 1580 873972 
7.1324 89.4094 1585 879134 
7.1324 89.4094 1590 884308 
7.1324 89.4094 1595 889495 
7.1324 89.4094 1600 894695 
7.1324 89.7534 100 -231010 
7.1324 89.7534 105 -228404 
7.1324 89.7534 110 -225857 
7.1324 89.7534 115 -223282 
7.1324 89.7534 120 -220586 
7.1324 89.7534 125 -218031 
7.1324 89.7534 130 -215410 
7.1324 89.7534 135 -212796 
7.1324 89.7534 140 -210147 
7.1324 89.7534 145 -207521 
7.1324 89.7534 150 -204855 
7.1324 89.7534 155 -202173 
7.1324 89.7534 160 -199526 
7.1324 89.7534 165 -196848 
7.1324 89.7534 170 -194154 
7.1324 89.7534 175 -191464 
7.1324 89.7534 180 -188718 
7.1324 89.7534 185 -186003 
7.1324 89.7534 190 -183304 
7.1324 89.7534 195 -180545 
7.1324 89.7534 200 -177823 
7.1324 89.7534 205 -175078 
7.1324 89.7534 210 -172322 
7.1324 89.7534 215 -169545 
7.1324 89.7534 220 -166771 
7.1324 89.7534 225 -163987 
7.1324 89.7534 230 -161241 
7.1324 89.7534 235 -158423 
7.1324 89.7534 240 -155601 
7.1324 89.7534 245 -152807 
7.1324 89.7534 250 -149971 
7.1324 89.7534 255 -147151 
7.1324 89.7534 260 -144378 
7.1324 89.7534 265 -141474 
7.1324 89.7534 270 -138587 
7.1324 89.7534 275 -135767 
7.1324 89.7534 280 -132859 
7.1324 89.7534 285 -130049 
7.1324 89.7534 290 -127181 
7.1324 89.7534 295 -124291 
7.1324 89.7534 300 -121389 
7.1324 89.7534 305 -118497 
7.1324 89.7534 310 -115597 
7.1324 89.7534 315 -112665 
7.1324 89.7534 320 -109773 
7.1324 89.7534 325 -106816 
7.1324 89.7534 330 -103895 
7.1324 89.7534 335 -100950 
7.1324 89.7534 340 -98011.3 
7.1324 89.7534 345 -95039 
7.1324 89.7534 350 -92075.6 
7.1324 89.7534 355 -89118.8 
7.1324 89.7534 360 -86165.5 
7.1324 89.7534 365 -83179.5 
7.1324 89.7534 370 -80188.2 
7.1324 89.7534 375 -77201.5 
7.1324 89.7534 380 -74184 
7.1324 89.7534 385 -71198.3 
7.1324 89.7534 390 -68186.8 
7.1324 89.7534 395 -65160 
7.1324 89.7534 400 -62151.6 
7.1324 89.7534 405 -59115.1 
7.1324 89.7534 410 -55930.7 
7.1324 89.7534 415 -53024.5 
7.1324 89.7534 420 -49915.4 
7.1324 89.7534 425 -46892.5 
7.1324 89.7534 430 -43829.3 
7.1324 89.7534 435 -40767 
7.1324 89.7534 440 -37690.2 
7.1324 89.7534 445 -34606.6 
7.1324 89.7534 450 -31472 
7.1324 89.7534 455 -28406.8 
7.1324 89.7534 460 -25298.3 
7.1324 89.7534 465 -22210.3 
7.1324 89.7534 470 -19088.9 
7.1324 89.7534 475 -15931.6 
7.1324 89.7534 480 -12859.7 
7.1324 89.7534 485 -9684.97 
7.1324 89.7534 490 -6533.18 
7.1324 89.7534 495 -3394.2 
7.1324 89.7534 500 -238.506 
7.1324 89.7534 505 2930.82 
7.1324 89.7534 510 6075.62 
7.1324 89.7534 515 9213.5 
7.1324 89.7534 520 12471.4 
7.1324 89.7534 525 15650.2 
7.1324 89.7534 530 18828.8 
7.1324 89.7534 535 22039.3 
7.1324 89.7534 540 25231.5 
7.1324 89.7534 545 28439.4 
7.1324 89.7534 550 31667.2 
7.1324 89.7534 555 34904 
7.1324 89.7534 560 38174.2 
7.1324 89.7534 565 41375.4 
7.1324 89.7534 570 44626 
7.1324 89.7534 575 47894.9 
7.1324 89.7534 580 51118.9 
7.1324 89.7534 585 54403.5 
7.1324 89.7534 590 57667.5 
7.1324 89.7534 595 60971.4 
7.1324 89.7534 600 64258 
7.1324 89.7534 605 67461.3 
7.1324 89.7534 610 70849.8 
7.1324 89.7534 615 74176.1 
7.1324 89.7534 620 77435.7 
7.1324 89.7534 625 80799.8 
7.1324 89.7534 630 84281.4 
7.1324 89.7534 635 87449.9 
7.1324 89.7534 640 90787.5 
7.1324 89.7534 645 94145.3 
7.1324 89.7534 650 97505.9 
7.1324 89.7534 655 100883 
7.1324 89.7534 660 104236 
7.1324 89.7534 665 107623 
7.1324 89.7534 670 110997 
7.1324 89.7534 675 114810 
7.1324 89.7534 680 117780 
7.1324 89.7534 685 121201 
7.1324 89.7534 690 124595 
7.1324 89.7534 695 128030 
7.1324 89.7534 700 131449 
7.1324 89.7534 705 134853 
7.1324 89.7534 710 138316 
7.1324 89.7534 715 141770 
7.1324 89.7534 720 145227 
7.1324 89.7534 725 148690 
7.1324 89.7534 730 152156 
7.1324 89.7534 735 155622 
7.1324 89.7534 740 159123 
7.1324 89.7534 745 162592 
7.1324 89.7534 750 166106 
7.1324 89.7534 755 169629 
7.1324 89.7534 760 173133 
7.1324 89.7534 765 176632 
7.1324 89.7534 770 180185 
7.1324 89.7534 775 183688 
7.1324 89.7534 780 187264 
7.1324 89.7534 785 190840 
7.1324 89.7534 790 194348 
7.1324 89.7534 795 197902 
7.1324 89.7534 800 201507 
7.1324 89.7534 805 205233 
7.1324 89.7534 810 208686 
7.1324 89.7534 815 212257 
7.1324 89.7534 820 215879 
7.1324 89.7534 825 219490 
7.1324 89.7534 830 223117 
7.1324 89.7534 835 226741 
7.1324 89.7534 840 230374 
7.1324 89.7534 845 234019 
7.1324 89.7534 850 237666 
7.1324 89.7534 855 241339 
7.1324 89.7534 860 245010 
7.1324 89.7534 865 248779 
7.1324 89.7534 870 252351 
7.1324 89.7534 875 256001 
7.1324 89.7534 880 259739 
7.1324 89.7534 885 263443 
7.1324 89.7534 890 267176 
7.1324 89.7534 895 270896 
7.1324 89.7534 900 274601 
7.1324 89.7534 905 278334 
7.1324 89.7534 910 282106 
7.1324 89.7534 915 285833 
7.1324 89.7534 920 289641 
7.1324 89.7534 925 293405 
7.1324 89.7534 930 297185 
7.1324 89.7534 935 298309 
7.1324 89.7534 940 304796 
7.1324 89.7534 945 308581 
7.1324 89.7534 950 312410 
7.1324 89.7534 955 316292 
7.1324 89.7534 960 320062 
7.1324 89.7534 965 323898 
7.1324 89.7534 970 327738 
7.1324 89.7534 975 331581 
7.1324 89.7534 980 335459 
7.1324 89.7534 985 339330 
7.1324 89.7534 990 343212 
7.1324 89.7534 995 347061 
7.1324 89.7534 1000 351023 
7.1324 89.7534 1005 354953 
7.1324 89.7534 1010 358854 
7.1324 89.7534 1015 362799 
7.1324 89.7534 1020 366708 
7.1324 89.7534 1025 370655 
7.1324 89.7534 1030 374632 
7.1324 89.7534 1035 378750 
7.1324 89.7534 1040 382577 
7.1324 89.7534 1045 386484 
