avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 805 0 0.305444 24.1613 
1.8 27 810 0 0.317786 24.1026 
1.8 27 815 0 0.330464 24.0467 
1.8 27 820 0 0.34348 23.9938 
1.8 27 825 0 0.356837 23.9437 
1.8 27 830 0 0.370537 23.8964 
1.8 27 835 0 0.384584 23.8518 
1.8 27 840 0 0.398979 23.8099 
1.8 27 845 0 0.413723 23.7707 
1.8 27 850 0 0.428818 23.7342 
1.8 27 855 0 0.444265 23.7003 
1.8 27 860 0 0.460063 23.669 
1.8 27 865 0 0.476214 23.6403 
1.8 27 870 0 0.488102 23.7047 
1.8 27 875 0 0.495271 23.8675 
1.8 27 880 0 0.503473 24.0146 
1.8 27 885 0 0.512587 24.1485 
1.8 27 890 0 0.522522 24.2713 
1.8 27 895 0 0.533207 24.3846 
1.8 27 900 0 0.544585 24.4897 
1.8 27 905 0 0.556611 24.5879 
1.8 27 910 0 0.569249 24.68 
1.8 27 915 0 0.582466 24.7671 
1.8 27 920 0 0.596239 24.8497 
1.8 27 925 0 0.610546 24.9286 
1.8 27 930 0 0.625368 25.0044 
1.8 27 935 0 0.64069 25.0774 
1.8 27 940 0 0.656498 25.1483 
1.8 27 945 0 0.67278 25.2173 
1.8 27 950 0 0.689524 25.2848 
1.8 27 955 0 0.706721 25.3512 
1.8 27 960 0 0.724362 25.4168 
1.8 27 965 0 0.742437 25.4817 
1.8 27 970 0 0.760938 25.5464 
1.8 27 975 0 0.779858 25.6109 
1.8 27 980 0 0.799188 25.6755 
1.8 27 985 0 0.818922 25.7403 
1.8 27 990 0 0.839051 25.8056 
1.8 27 995 0 0.859568 25.8714 
1.8 27 1000 0 0.880466 25.938 
1.8 27 1005 0 0.901738 26.0055 
1.8 27 1010 0 0.923376 26.0739 
1.8 27 1015 0 0.945373 26.1434 
1.8 27 1020 0 0.967721 26.2142 
1.8 27 1025 0 0.990412 26.2862 
1.8 27 1030 0 1.01344 26.3596 
1.8 27 1035 0 1.0368 26.4344 
1.8 27 1040 0 1.06047 26.5108 
1.8 27 1045 0 1.08446 26.5888 
1.8 27 1050 0 1.10876 26.6684 
1.8 27 1055 0 1.13335 26.7498 
1.8 27 1060 0 1.15823 26.8329 
1.8 27 1065 0 1.1834 26.9178 
1.8 27 1070 0 1.20884 27.0045 
1.8 27 1075 0 1.23454 27.0932 
1.8 27 1080 0 1.26051 27.1837 
1.8 27 1085 0 1.28672 27.2762 
1.8 27 1090 0 1.31318 27.3707 
1.8 27 1095 0 1.33988 27.4671 
1.8 27 1100 0 1.3668 27.5656 
1.8 27 1105 0 1.39394 27.6661 
1.8 27 1110 0 1.4213 27.7686 
1.8 27 1115 0 1.44886 27.8732 
1.8 27 1120 0 1.47663 27.9798 
1.8 27 1125 0 1.50458 28.0885 
1.8 27 1130 0 1.53272 28.1992 
1.8 27 1135 0 1.56105 28.312 
1.8 27 1140 0 1.58954 28.4269 
1.8 27 1145 0 1.6182 28.5438 
1.8 27 1150 0 1.64701 28.6627 
1.8 27 1155 0 1.67598 28.7837 
1.8 27 1160 0 1.7051 28.9067 
1.8 27 1165 0 1.73435 29.0317 
1.8 27 1170 0 1.76374 29.1586 
1.8 27 1175 0 1.79326 29.2876 
1.8 27 1180 0 1.8229 29.4185 
1.8 27 1185 0 1.85266 29.5514 
1.8 27 1190 0 1.88252 29.6861 
1.8 27 1195 0 1.91249 29.8228 
1.8 27 1200 0 1.94256 29.9613 
1.8 27 1205 0 1.97272 30.1016 
1.8 27 1210 0 2.00296 30.2438 
1.8 27 1215 0 2.03329 30.3877 
1.8 27 1220 0 2.06369 30.5334 
1.8 27 1225 0 2.09417 30.6807 
1.8 27 1230 0 2.1247 30.8298 
1.8 27 1235 0 2.1553 30.9804 
1.8 27 1240 0 2.18594 31.1327 
1.8 27 1245 0 2.21664 31.2865 
1.8 27 1250 0 2.24737 31.4418 
1.8 27 1255 0 2.27814 31.5986 
1.8 27 1260 0 2.30894 31.7568 
1.8 27 1265 0 2.33977 31.9164 
1.8 27 1270 0 2.37061 32.0774 
1.8 27 1275 0 2.40147 32.2396 
1.8 27 1280 0 2.43234 32.4031 
1.8 27 1285 0 2.4632 32.5677 
1.8 27 1290 0 2.49407 32.7335 
1.8 27 1295 0.5396 2.55391 32.3901 
1.8 27 1300 0.592956 2.48849 31.8845 
1.8 27 1305 0.623454 2.41694 31.4011 
1.8 27 1310 0.6565 2.34408 30.9041 
1.8 27 1315 0.692795 2.27199 30.3804 
1.8 27 1320 0.734701 2.21068 29.7608 
1.8 27 1325 0.780053 2.14861 29.1311 
1.8 27 1330 0.829221 2.08597 28.4924 
1.8 27 1335 0.877961 2.02333 27.9163 
1.8 27 1340 0.908587 1.96198 27.6607 
1.8 27 1345 0.941458 1.90032 27.4067 
1.8 27 1350 0.976776 1.83844 27.1548 
1.8 27 1355 1 1.8 27 
1.8 27 1360 1 1.8 27 
1.8 27 1365 1 1.8 27 
1.8 27 1370 1 1.8 27 
1.8 27 1375 1 1.8 27 
1.8 27 1380 1 1.8 27 
1.8 27 1385 1 1.8 27 
1.8 27 1390 1 1.8 27 
1.8 27 1395 1 1.8 27 
1.8 27 1400 1 1.8 27 
1.8 27 1405 1 1.8 27 
1.8 27 1410 1 1.8 27 
1.8 27 1415 1 1.8 27 
1.8 27 1420 1 1.8 27 
1.8 27 1425 1 1.8 27 
1.8 27 1430 1 1.8 27 
1.8 27 1435 1 1.8 27 
1.8 27 1440 1 1.8 27 
1.8 27 1445 1 1.8 27 
1.8 27 1450 1 1.8 27 
1.8 27 1455 1 1.8 27 
1.8 27 1460 1 1.8 27 
1.8 27 1465 1 1.8 27 
1.8 27 1470 1 1.8 27 
1.8 27 1475 1 1.8 27 
1.8 27 1480 1 1.8 27 
1.8 27 1485 1 1.8 27 
1.8 27 1490 1 1.8 27 
1.8 27 1495 1 1.8 27 
1.8 27 1500 1 1.8 27 
1.8 27 1505 1 1.8 27 
1.8 27 1510 1 1.8 27 
1.8 27 1515 1 1.8 27 
1.8 27 1520 1 1.8 27 
1.8 27 1525 1 1.8 27 
1.8 27 1530 1 1.8 27 
1.8 27 1535 1 1.8 27 
1.8 27 1540 1 1.8 27 
1.8 27 1545 1 1.8 27 
1.8 27 1550 1 1.8 27 
1.8 27 1555 1 1.8 27 
1.8 27 1560 1 1.8 27 
1.8 27 1565 1 1.8 27 
1.8 27 1570 1 1.8 27 
1.8 27 1575 1 1.8 27 
1.8 27 1580 1 1.8 27 
1.8 27 1585 1 1.8 27 
1.8 27 1590 1 1.8 27 
1.8 27 1595 1 1.8 27 
1.8 27 1600 1 1.8 27 
1.8 27.6 100 0 3.97433e-010 55.5643 
1.8 27.6 105 0 5.54833e-010 55.5245 
1.8 27.6 110 0 8.93081e-010 55.1085 
1.8 27.6 115 0 1.41898e-009 54.6935 
1.8 27.6 120 0 2.22658e-009 54.2797 
1.8 27.6 125 0 3.45211e-009 53.867 
1.8 27.6 130 0 5.2907e-009 53.4553 
1.8 27.6 135 0 8.01883e-009 53.0448 
1.8 27.6 140 0 1.20243e-008 52.6354 
1.8 27.6 145 0 1.78453e-008 52.2272 
1.8 27.6 150 0 2.62223e-008 51.8201 
1.8 27.6 155 0 3.81639e-008 51.4143 
1.8 27.6 160 0 5.5032e-008 51.0096 
1.8 27.6 165 0 7.86502e-008 50.6062 
1.8 27.6 170 0 1.11439e-007 50.204 
1.8 27.6 175 0 1.56589e-007 49.8031 
1.8 27.6 180 0 2.18266e-007 49.4036 
1.8 27.6 185 0 3.01876e-007 49.0054 
1.8 27.6 190 0 4.14384e-007 48.6085 
1.8 27.6 195 0 5.64692e-007 48.2131 
1.8 27.6 200 0 7.64111e-007 47.8191 
1.8 27.6 205 0 1.02691e-006 47.4266 
1.8 27.6 210 0 1.37099e-006 47.0357 
1.8 27.6 215 0 1.81863e-006 46.6463 
1.8 27.6 220 0 2.39747e-006 46.2586 
1.8 27.6 225 0 3.14149e-006 45.8725 
1.8 27.6 230 0 4.09232e-006 45.4882 
1.8 27.6 235 0 5.30064e-006 45.1057 
1.8 27.6 240 0 6.82781e-006 44.725 
1.8 27.6 245 0 8.74773e-006 44.3463 
1.8 27.6 250 0 1.1149e-005 43.9695 
1.8 27.6 255 0 1.4137e-005 43.5948 
1.8 27.6 260 0 1.78372e-005 43.2223 
1.8 27.6 265 0 2.23971e-005 42.8519 
1.8 27.6 270 0 2.79905e-005 42.4838 
1.8 27.6 275 0 3.48201e-005 42.1182 
1.8 27.6 280 0 4.31223e-005 41.7549 
1.8 27.6 285 0 5.31703e-005 41.3942 
1.8 27.6 290 0 6.52797e-005 41.0362 
1.8 27.6 295 0 7.98123e-005 40.6809 
1.8 27.6 300 0 9.71818e-005 40.3284 
1.8 27.6 305 0 0.000117859 39.9788 
1.8 27.6 310 0 0.000142377 39.6323 
1.8 27.6 315 0 0.000171336 39.2888 
1.8 27.6 320 0 0.000205414 38.9487 
1.8 27.6 325 0 0.000245364 38.6118 
1.8 27.6 330 0 0.000292029 38.2784 
1.8 27.6 335 0 0.00034634 37.9485 
1.8 27.6 340 0 0.00040933 37.6222 
1.8 27.6 345 0 0.00048213 37.2997 
1.8 27.6 350 0 0.000565984 36.981 
1.8 27.6 355 0 0.000662246 36.6663 
1.8 27.6 360 0 0.000772389 36.3555 
1.8 27.6 365 0 0.000898006 36.0489 
1.8 27.6 370 0 0.00104082 35.7465 
1.8 27.6 375 0 0.00120267 35.4483 
1.8 27.6 380 0 0.00138553 35.1545 
1.8 27.6 385 0 0.00159152 34.8651 
1.8 27.6 390 0 0.00182287 34.5802 
1.8 27.6 395 0 0.00208194 34.2999 
1.8 27.6 400 0 0.00237124 34.0241 
1.8 27.6 405 0 0.00268425 33.7689 
1.8 27.6 410 0 0.00282336 33.8513 
1.8 27.6 415 0 0.00296787 33.9354 
1.8 27.6 420 0 0.00311793 34.0212 
1.8 27.6 425 0 0.0032737 34.1089 
1.8 27.6 430 0 0.00343535 34.1983 
1.8 27.6 435 0 0.00360307 34.2897 
1.8 27.6 440 0 0.00377704 34.3831 
1.8 27.6 445 0 0.00395745 34.4785 
1.8 27.6 450 0 0.00414451 34.5761 
1.8 27.6 455 0 0.00433843 34.6758 
1.8 27.6 460 0 0.00453943 34.7779 
1.8 27.6 465 0 0.00474774 34.8825 
1.8 27.6 470 0 0.00496361 34.9895 
1.8 27.6 475 0 0.0051873 35.0992 
1.8 27.6 480 0 0.00548922 35.1142 
1.8 27.6 485 0 0.00599741 34.8817 
1.8 27.6 490 0 0.00654421 34.6511 
1.8 27.6 495 0 0.00713185 34.4225 
1.8 27.6 500 0 0.00776268 34.1959 
1.8 27.6 505 0 0.0084391 33.9714 
1.8 27.6 510 0 0.00916362 33.7489 
1.8 27.6 515 0 0.00993883 33.5284 
1.8 27.6 520 0 0.0107674 33.3099 
1.8 27.6 525 0 0.0116522 33.0936 
1.8 27.6 530 0 0.012596 32.8793 
1.8 27.6 535 0 0.0136018 32.6671 
1.8 27.6 540 0 0.0146727 32.457 
1.8 27.6 545 0 0.0158119 32.249 
1.8 27.6 550 0 0.0170226 32.0431 
1.8 27.6 555 0 0.0183082 31.8393 
1.8 27.6 560 0 0.0196723 31.6377 
1.8 27.6 565 0 0.0211184 31.4381 
1.8 27.6 570 0 0.0226504 31.2407 
1.8 27.6 575 0 0.0242719 31.0454 
