avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 795 0 7.04343 71.4511 
1.8 27 800 0 7.0418 71.123 
1.8 27 805 0 7.04019 70.7973 
1.8 27 810 0 7.03858 70.474 
1.8 27 815 0 7.03699 70.153 
1.8 27 820 0 7.03542 69.8344 
1.8 27 825 0 7.03385 69.5183 
1.8 27 830 0 7.0323 69.2045 
1.8 27 835 0 7.03075 68.8933 
1.8 27 840 0 7.02922 68.5846 
1.8 27 845 0 7.02771 68.2783 
1.8 27 850 0 7.0262 67.9746 
1.8 27 855 0 7.02471 67.6734 
1.8 27 860 0 7.02323 67.3748 
1.8 27 865 0 7.02176 67.0787 
1.8 27 870 0 7.02093 66.9111 
1.8 27 875 0 7.02078 66.8801 
1.8 27 880 0 7.02052 66.8269 
1.8 27 885 0 7.02016 66.7555 
1.8 27 890 0 7.01973 66.6685 
1.8 27 895 0 7.01923 66.5683 
1.8 27 900 0 7.01868 66.4569 
1.8 27 905 0 7.01808 66.3358 
1.8 27 910 0 7.01744 66.2064 
1.8 27 915 0 7.01676 66.0698 
1.8 27 920 0 7.01606 65.927 
1.8 27 925 0 7.01532 65.7787 
1.8 27 930 0 7.01456 65.6257 
1.8 27 935 0 7.01379 65.4687 
1.8 27 940 0 7.01299 65.3082 
1.8 27 945 0 7.01218 65.1447 
1.8 27 950 0 7.01136 64.9786 
1.8 27 955 0 7.01052 64.8103 
1.8 27 960 0 7.00968 64.6402 
1.8 27 965 0 7.00883 64.4686 
1.8 27 970 0 7.00797 64.2957 
1.8 27 975 0 7.00711 64.1218 
1.8 27 980 0 7.00625 63.9472 
1.8 27 985 0 7.00538 63.7721 
1.8 27 990 0 7.00451 63.5967 
1.8 27 995 0 7.00364 63.421 
1.8 27 1000 0 7.00277 63.2454 
1.8 27 1005 0 7.0019 63.07 
1.8 27 1010 0 7.00103 62.8949 
1.8 27 1015 0 7.00017 62.7201 
1.8 27 1020 0 6.99931 62.546 
1.8 27 1025 0 6.99845 62.3724 
1.8 27 1030 0 6.99759 62.1997 
1.8 27 1035 0 6.99674 62.0277 
1.8 27 1040 0 6.99589 61.8567 
1.8 27 1045 0 6.99505 61.6868 
1.8 27 1050 0 6.99421 61.5179 
1.8 27 1055 0 6.99338 61.3501 
1.8 27 1060 0 6.99256 61.1836 
1.8 27 1065 0 6.99174 61.0183 
1.8 27 1070 0 6.99092 60.8544 
1.8 27 1075 0 6.99012 60.6918 
1.8 27 1080 0 6.98932 60.5306 
1.8 27 1085 0 6.98853 60.3709 
1.8 27 1090 0 6.98775 60.2127 
1.8 27 1095 0 6.98697 60.0561 
1.8 27 1100 0 6.9862 59.901 
1.8 27 1105 0 6.98544 59.7475 
1.8 27 1110 0 6.98469 59.5955 
1.8 27 1115 0 6.98394 59.4453 
1.8 27 1120 0 6.98321 59.2967 
1.8 27 1125 0 6.98248 59.1497 
1.8 27 1130 0 6.98176 59.0045 
1.8 27 1135 0 6.98105 58.8609 
1.8 27 1140 0 6.98035 58.7191 
1.8 27 1145 0 6.97965 58.579 
1.8 27 1150 0 6.97897 58.4407 
1.8 27 1155 0 6.97829 58.304 
1.8 27 1160 0 6.97762 58.1692 
1.8 27 1165 0 6.97696 58.036 
1.8 27 1170 0 6.97631 57.9047 
1.8 27 1175 0 6.97567 57.7751 
1.8 27 1180 0 6.97504 57.6472 
1.8 27 1185 0 6.97441 57.5211 
1.8 27 1190 0 6.97379 57.3968 
1.8 27 1195 0 6.97319 57.2742 
1.8 27 1200 0 6.97259 57.1533 
1.8 27 1205 0 6.972 57.0342 
1.8 27 1210 0 6.97142 56.9168 
1.8 27 1215 0 6.97084 56.8011 
1.8 27 1220 0 6.97028 56.6872 
1.8 27 1225 0 6.96972 56.5749 
1.8 27 1230 0 6.96918 56.4644 
1.8 27 1235 0 6.96864 56.3555 
1.8 27 1240 0 6.9681 56.2484 
1.8 27 1245 0 6.96758 56.1429 
1.8 27 1250 0 6.96707 56.039 
1.8 27 1255 0 6.96656 55.9368 
1.8 27 1260 0 6.96606 55.8363 
1.8 27 1265 0 6.96557 55.7373 
1.8 27 1270 0 6.96509 55.64 
1.8 27 1275 0 6.96462 55.5443 
1.8 27 1280 0 6.96415 55.4501 
1.8 27 1285 0 6.96369 55.3575 
1.8 27 1290 0 6.96324 55.2665 
1.8 27 1295 0 6.95962 54.5367 
1.8 27 1300 0 6.95795 54.1978 
1.8 27 1305 0 6.95652 53.9098 
1.8 27 1310 0 6.95506 53.615 
1.8 27 1315 0 6.95345 53.2899 
1.8 27 1320 0 6.95111 52.8179 
1.8 27 1325 0 6.94873 52.3368 
1.8 27 1330 0 6.94629 51.8456 
1.8 27 1335 0 6.94416 51.4163 
1.8 27 1340 0 6.94367 51.3164 
1.8 27 1345 0 6.94319 51.219 
1.8 27 1350 0 6.94272 51.1241 
1.8 27 1355 0 6.94225 51.0291 
1.8 27 1360 0 6.94176 50.9311 
1.8 27 1365 0 6.94128 50.834 
1.8 27 1370 0 6.9408 50.738 
1.8 27 1375 0 6.94033 50.6428 
1.8 27 1380 0 6.93987 50.5485 
1.8 27 1385 0 6.9394 50.4552 
1.8 27 1390 0 6.93895 50.3628 
1.8 27 1395 0 6.93849 50.2713 
1.8 27 1400 0 6.93804 50.1807 
1.8 27 1405 0 6.9376 50.0909 
1.8 27 1410 0 6.93716 50.0021 
1.8 27 1415 0 6.93672 49.9142 
1.8 27 1420 0 6.93629 49.8271 
1.8 27 1425 0 6.93586 49.7409 
1.8 27 1430 0 6.93544 49.6555 
1.8 27 1435 0 6.93502 49.5711 
1.8 27 1440 0 6.93461 49.4874 
1.8 27 1445 0 6.9342 49.4047 
1.8 27 1450 0 6.93379 49.3227 
1.8 27 1455 0 6.93339 49.2416 
1.8 27 1460 0 6.93299 49.1614 
1.8 27 1465 0 6.9326 49.0819 
1.8 27 1470 0 6.93221 49.0033 
1.8 27 1475 0 6.93182 48.9255 
1.8 27 1480 0 6.93144 48.8485 
1.8 27 1485 0 6.93107 48.7723 
1.8 27 1490 0 6.93069 48.697 
1.8 27 1495 0 6.93032 48.6224 
1.8 27 1500 0 6.92996 48.5486 
1.8 27 1505 0 6.9296 48.4756 
1.8 27 1510 0 6.92924 48.4034 
1.8 27 1515 0 6.92888 48.332 
1.8 27 1520 0 6.92853 48.2613 
1.8 27 1525 0 6.92819 48.1915 
1.8 27 1530 0 6.92785 48.1223 
1.8 27 1535 0 6.92751 48.054 
1.8 27 1540 0 6.92717 47.9864 
1.8 27 1545 0 6.92684 47.9195 
1.8 27 1550 0 6.92651 47.8535 
1.8 27 1555 0 6.92619 47.7881 
1.8 27 1560 0 6.92587 47.7235 
1.8 27 1565 0 6.92555 47.6596 
1.8 27 1570 0 6.92524 47.5964 
1.8 27 1575 0 6.92493 47.534 
1.8 27 1580 0 6.92462 47.4722 
1.8 27 1585 0 6.92432 47.4112 
1.8 27 1590 0 6.92402 47.3509 
1.8 27 1595 0 6.92373 47.2912 
1.8 27 1600 0 6.92344 47.2322 
1.8 27.6 100 0.251768 7.14944 92.8493 
1.8 27.6 105 0.251768 7.14944 92.849 
1.8 27.6 110 0.251768 7.14944 92.8487 
1.8 27.6 115 0.251768 7.14944 92.8483 
1.8 27.6 120 0.251768 7.14943 92.8478 
1.8 27.6 125 0.251768 7.14943 92.8472 
1.8 27.6 130 0.251768 7.14943 92.8465 
1.8 27.6 135 0.251769 7.14942 92.8456 
1.8 27.6 140 0.251769 7.14942 92.8447 
