(9.49863e-07, 156.6)
(9.49863e-07, 156.6)
(3.94128e-05, 156.6)
(0.000116339, 156.599)
(0.000270192, 156.598)
(0.000577899, 156.596)
(0.00180876, 156.589)
(0.0215086, 156.468)
(0.100422, 155.986)
(1.09052, 15.851)
(1.38834, 148.446)
(2.72501, 141.256)
(4.11183, 134.433)
(5.54988, 127.991)
(7.03983, 121.94)
(8.582, 116.284)
(10.1764, 111.023)
(11.8228, 106.151)
(13.5209, 101.656)
(15.2701, 97.5211)
(17.0702, 93.7255)
(18.9209, 90.2443)
(20.822, 87.0505)
(22.7736, 84.1154)
(24.7763, 81.4091)
(26.8304, 78.9015)
(28.937, 76.5621)
(31.0971, 74.3603)
(33.312, 72.2654)
(34.4405, 71.2484)
(35.5834, 70.2464)
(36.7408, 69.2554)
(37.9131, 68.2713)
(39.1005, 67.29)
(40.3033, 66.3071)
(41.5218, 65.3183)
(42.7564, 64.3188)
(44.0073, 63.3039)
(45.275, 62.2685)
(46.5598, 61.2073)
(47.8622, 60.1145)
(49.1826, 58.9842)
(50.5214, 57.8098)
(51.8793, 56.5843)
(53.2567, 55.3002)
(54.6542, 53.9493)
(56.0724, 52.5225)
(56.7895, 51.7776)
(58.2413, 50.2167)
(60.9486, 47.0948)
(63.4162, 43.9729)
(65.6719, 40.851)
(67.7417, 37.7292)
(69.6486, 34.6073)
(71.4124, 31.4854)
(73.0496, 28.3635)
(75.9995, 22.1198)
(78.5879, 15.876)
(78.5976, 15.851)
(78.5976, 15.851)
(78.65, 15.876)
(81.1805, 17.1342)
(81.1876, 17.1378)
(82.1539, 17.6451)
(84.7687, 19.0926)
(85.7647, 19.673)
(88.4603, 21.325)
(89.4873, 21.9858)
(92.2676, 23.8626)
(93.327, 24.6117)
(96.1959, 26.7348)
(97.2895, 27.5806)
(98.2074, 28.3063)
(99.2253, 29.1276)
(99.3186, 29.2038)
(99.7373, 29.5475)
(99.831, 29.6248)
(99.9594, 29.731)
(99.9915, 29.7576)
(99.9941, 29.7597)
(99.9981, 29.763)
(99.9991, 29.7638)
(99.9996, 29.7642)
(99.9996, 29.7643)
(99.9998, 29.7644)
(99.9999, 29.7645)
(99.9999, 29.7645)
(100.0, 29.73)
(100.0, 29.7646)
(100.0, 29.7646)
(100.0, 29.7646)
(100.0, 29.7646)
(100.0, 29.7646)
