Compteur	FrequenceCapteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration	ConcentrationLiquide	ConcentrationBCT_S1	ConcentrationFCC_S1	ConcentrationLiq_S1	FractionBCT_S1	FractionFCC_S1	FractionLiq_S1	CodeConvergence	
0	10	0	258.565	8.20268e+08	1.83241e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	0	
10	10	1	258.515	8.20181e+08	1.73902e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	2	
20	10	2	258.477	8.20114e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	2	
30	10	3	258.446	8.20061e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	2	
40	10	4	258.418	8.20011e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	2	
50	10	5	258.391	8.19965e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	2	
60	10	6	258.365	8.1992e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	2	
70	10	7	258.34	8.19876e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
80	10	8	258.315	8.19833e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
90	10	9	258.291	8.19791e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
100	10	10	258.268	8.1975e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
110	10	11	258.246	8.19711e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
120	10	12	258.225	8.19675e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
130	10	13	258.205	8.19641e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
140	10	14	258.188	8.1961e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
150	10	15	258.171	8.19582e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
160	10	16	258.156	8.19556e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
170	10	17	258.143	8.19532e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
180	10	18	258.13	8.19511e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
190	10	19	258.119	8.19491e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
200	10	20	258.109	8.19473e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
210	10	21	258.1	8.19457e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
220	10	22	258.091	8.19443e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
230	10	23	258.084	8.1943e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
240	10	24	258.077	8.19418e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
250	10	25	258.071	8.19407e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
260	10	26	258.063	8.19394e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
270	10	27	258.054	8.19377e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
280	10	28	258.043	8.19359e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
290	10	29	258.032	8.1934e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
300	10	30	258.022	8.19322e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
310	10	31	258.011	8.19303e+08	1.73971e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
320	10	32	258.001	8.19285e+08	1.74024e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
330	10	33	257.99	8.19267e+08	1.74024e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
340	10	34	257.981	8.1925e+08	1.74024e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
350	10	35	257.971	8.19234e+08	1.74024e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
360	10	36	257.962	8.19218e+08	1.74038e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
370	10	37	257.953	8.19202e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
380	10	38	257.944	8.19186e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
390	10	39	257.935	8.1917e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
400	10	40	257.925	8.19154e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
410	10	41	257.916	8.19139e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
420	10	42	257.907	8.19123e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
430	10	43	257.898	8.19107e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
440	10	44	257.889	8.19092e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
450	10	45	257.88	8.19076e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
460	10	46	257.871	8.1906e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
470	10	47	257.862	8.19044e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
480	10	48	257.853	8.19028e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
490	10	49	257.843	8.19011e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
500	10	50	257.834	8.18995e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
510	10	51	257.824	8.18978e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
520	10	52	257.814	8.18961e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
530	10	53	257.804	8.18944e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
540	10	54	257.795	8.18927e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
550	10	55	257.785	8.1891e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
560	10	56	257.775	8.18893e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
570	10	57	257.765	8.18876e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
580	10	58	257.755	8.18859e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
590	10	59	257.746	8.18842e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
600	10	60	257.736	8.18825e+08	1.74039e+06	3	3	2.36001e-310	2.36001e-310	3	0	0	1	1	
