Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
0	0	1394.85	8.13721e+09	5e+06	2	30	2	30	1	0	0	0	0	0	
10	1	1394.85	8.13721e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
20	2	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
30	3	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
40	4	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
50	5	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
60	6	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
70	7	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
80	8	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
90	9	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
100	10	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
110	11	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
120	12	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
130	13	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
140	14	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
150	15	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
160	16	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
170	17	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
180	18	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
190	19	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
200	20	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
210	21	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
220	22	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
230	23	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
240	24	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
250	25	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
260	26	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
270	27	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
280	28	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
290	29	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
300	30	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
310	31	1394.85	8.1372e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
320	32	1394.85	8.13719e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
330	33	1394.85	8.13719e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
340	34	1394.85	8.13719e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
350	35	1394.85	8.13719e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
360	36	1394.85	8.13718e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
370	37	1394.85	8.13718e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
380	38	1394.84	8.13718e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
390	39	1394.84	8.13717e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
400	40	1394.84	8.13717e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
410	41	1394.84	8.13716e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
420	42	1394.84	8.13715e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
430	43	1394.84	8.13714e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
440	44	1394.84	8.13713e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
450	45	1394.83	8.13712e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
460	46	1394.83	8.13711e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
470	47	1394.83	8.1371e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
480	48	1394.83	8.13708e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
490	49	1394.82	8.13707e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
500	50	1394.82	8.13705e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
510	51	1394.82	8.13703e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
520	52	1394.81	8.13701e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
530	53	1394.81	8.13699e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
540	54	1394.81	8.13696e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
550	55	1394.8	8.13694e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
560	56	1394.8	8.13691e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
570	57	1394.79	8.13688e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
580	58	1394.78	8.13685e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
590	59	1394.78	8.13682e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
600	60	1394.77	8.13678e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
610	61	1394.77	8.13675e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
620	62	1394.76	8.13671e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
630	63	1394.75	8.13667e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
640	64	1394.74	8.13663e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
650	65	1394.74	8.13658e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
660	66	1394.73	8.13654e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
670	67	1394.72	8.13649e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
680	68	1394.71	8.13644e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
690	69	1394.7	8.13639e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
700	70	1394.69	8.13633e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
710	71	1394.68	8.13627e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
720	72	1394.67	8.13622e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
730	73	1394.66	8.13616e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
740	74	1394.64	8.13609e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
750	75	1394.63	8.13603e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
760	76	1394.62	8.13596e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
770	77	1394.61	8.13589e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
780	78	1394.59	8.13582e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
790	79	1394.58	8.13575e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
800	80	1394.57	8.13567e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
810	81	1394.55	8.1356e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
820	82	1394.54	8.13552e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
830	83	1394.52	8.13543e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
840	84	1394.51	8.13535e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
850	85	1394.49	8.13527e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
860	86	1394.48	8.13518e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
870	87	1394.46	8.13509e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
880	88	1394.44	8.135e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
890	89	1394.42	8.1349e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
900	90	1394.41	8.13481e+09	5.41493e+06	2	30	2	30	1	0	0	0	0	2	
910	91	1394.39	8.13471e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
920	92	1394.37	8.13461e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
930	93	1394.35	8.13451e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
940	94	1394.33	8.1344e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
950	95	1394.31	8.1343e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
960	96	1394.29	8.13419e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
970	97	1394.27	8.13408e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
980	98	1394.25	8.13397e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
990	99	1394.23	8.13386e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1000	100	1394.21	8.13374e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1010	101	1394.19	8.13363e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1020	102	1394.17	8.13351e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1030	103	1394.14	8.13339e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1040	104	1394.12	8.13326e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1050	105	1394.1	8.13314e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1060	106	1394.08	8.13301e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1070	107	1394.05	8.13289e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1080	108	1394.03	8.13276e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1090	109	1394	8.13263e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1100	110	1393.98	8.13249e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1110	111	1393.96	8.13236e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1120	112	1393.93	8.13222e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1130	113	1393.9	8.13209e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1140	114	1393.88	8.13195e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
1150	115	1393.85	8.13181e+09	5.41494e+06	2	30	2	30	1	0	0	0	0	2	
