Compteur	FrequenceCapteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration	ConcentrationLiquide	ConcentrationBCT_S1	ConcentrationFCC_S1	ConcentrationLiq_S1	FractionBCT_S1	FractionFCC_S1	FractionLiq_S1	CodeConvergence	
0	10	0	258.565	8.20268e+08	1.83241e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	0	
10	10	1	259.194	8.21361e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
20	10	2	259.21	8.21388e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
30	10	3	259.215	8.21397e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
40	10	4	259.216	8.214e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
50	10	5	259.217	8.21401e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
60	10	6	259.216	8.214e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
70	10	7	259.215	8.21398e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
80	10	8	259.214	8.21396e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
90	10	9	259.212	8.21393e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
100	10	10	259.211	8.21391e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
110	10	11	259.21	8.21388e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
120	10	12	259.208	8.21386e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
130	10	13	259.206	8.21383e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
140	10	14	259.205	8.2138e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
150	10	15	259.204	8.21378e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
160	10	16	259.202	8.21375e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
170	10	17	259.201	8.21373e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
180	10	18	259.199	8.2137e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
190	10	19	259.198	8.21368e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
200	10	20	259.196	8.21365e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
210	10	21	259.195	8.21363e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
220	10	22	259.194	8.21361e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
230	10	23	259.192	8.21358e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
240	10	24	259.191	8.21356e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
250	10	25	259.19	8.21354e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
260	10	26	259.199	8.21369e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
270	10	27	259.21	8.21389e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
280	10	28	259.221	8.21409e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
290	10	29	259.233	8.21429e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
300	10	30	259.245	8.21449e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
310	10	31	259.256	8.21469e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
320	10	32	259.268	8.21489e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
330	10	33	259.279	8.21509e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
340	10	34	259.291	8.21529e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
350	10	35	259.302	8.21549e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
360	10	36	259.314	8.21569e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
370	10	37	259.325	8.21589e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
380	10	38	259.337	8.21609e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
390	10	39	259.348	8.21629e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
400	10	40	259.359	8.21649e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
410	10	41	259.371	8.21668e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
420	10	42	259.382	8.21688e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
430	10	43	259.393	8.21708e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
440	10	44	259.404	8.21727e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
450	10	45	259.416	8.21747e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
460	10	46	259.427	8.21766e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
470	10	47	259.438	8.21785e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
480	10	48	259.449	8.21805e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
490	10	49	259.46	8.21824e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
500	10	50	259.471	8.21843e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
510	10	51	259.482	8.21862e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
520	10	52	259.493	8.21881e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
530	10	53	259.504	8.21901e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
540	10	54	259.515	8.2192e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
550	10	55	259.526	8.21939e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
560	10	56	259.537	8.21958e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
570	10	57	259.548	8.21977e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
580	10	58	259.559	8.21997e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
590	10	59	259.57	8.22016e+08	1.73904e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
