Compteur	FrequenceCapteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration	ConcentrationLiquide	ConcentrationBCT_S1	ConcentrationFCC_S1	ConcentrationLiq_S1	FractionBCT_S1	FractionFCC_S1	FractionLiq_S1	CodeConvergence	
0	10	0	258.565	8.20268e+08	1.83241e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	0	
10	10	1	258.804	8.20683e+08	1.73971e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
20	10	2	258.909	8.20866e+08	1.73971e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
30	10	3	258.957	8.20949e+08	1.73966e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
40	10	4	258.982	8.20993e+08	1.73966e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
50	10	5	258.997	8.21019e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
60	10	6	259.006	8.21034e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	2	
70	10	7	259.011	8.21042e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
80	10	8	259.013	8.21047e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
90	10	9	259.015	8.21049e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
100	10	10	259.015	8.2105e+08	1.73932e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
110	10	11	259.015	8.2105e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
120	10	12	259.015	8.21049e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
130	10	13	259.014	8.21049e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
140	10	14	259.014	8.21048e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
150	10	15	259.013	8.21047e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
160	10	16	259.013	8.21046e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
170	10	17	259.013	8.21046e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
180	10	18	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
190	10	19	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
200	10	20	259.012	8.21045e+08	1.73933e+06	3	3	2.34515e-310	2.34515e-310	3	0	0	1	1	
