Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
11090	1109	1271.1	5.86856e+09	5.67971e+06	2.01056	30.1694	0	0	0	0.454095	0.359159	0.186746	0	6	
11100	1110	1271	5.86799e+09	5.67985e+06	2.01056	30.1694	0	0	0	0.454123	0.359115	0.186762	0	6	
11110	1111	1270.9	5.86743e+09	5.67999e+06	2.01056	30.1694	0	0	0	0.454151	0.359071	0.186778	0	6	
11120	1112	1270.8	5.86686e+09	5.68019e+06	2.01056	30.1694	0	0	0	0.454179	0.359026	0.186794	0	6	
11130	1113	1270.7	5.8663e+09	5.68034e+06	2.01056	30.1694	0	0	0	0.454207	0.358982	0.18681	0	8	
11140	1114	1270.6	5.86573e+09	5.68049e+06	2.01056	30.1694	0	0	0	0.454235	0.358938	0.186827	0	6	
11150	1115	1270.5	5.86516e+09	5.68063e+06	2.01056	30.1694	0	0	0	0.454264	0.358894	0.186843	0	6	
11160	1116	1270.4	5.86459e+09	5.68078e+06	2.01056	30.1694	0	0	0	0.454292	0.358849	0.186859	0	6	
11170	1117	1270.3	5.86402e+09	5.68093e+06	2.01056	30.1694	0	0	0	0.45432	0.358804	0.186875	0	6	
11180	1118	1270.2	5.86345e+09	5.68108e+06	2.01056	30.1694	0	0	0	0.454348	0.35876	0.186892	0	6	
11190	1119	1270.1	5.86288e+09	5.68115e+06	2.01056	30.1694	0	0	0	0.454377	0.358716	0.186908	0	6	
11200	1120	1270	5.86231e+09	5.6733e+06	2.01056	30.1694	0	0	0	0.454405	0.358671	0.186924	0	8	
11210	1121	1269.9	5.86175e+09	5.66849e+06	2.01056	30.1694	0	0	0	0.454432	0.358628	0.18694	0	6	
11220	1122	1269.8	5.86118e+09	5.66868e+06	2.01056	30.1694	0	0	0	0.45446	0.358584	0.186956	0	8	
11230	1123	1269.7	5.86062e+09	5.66887e+06	2.01056	30.1694	0	0	0	0.454488	0.358541	0.186972	0	6	
11240	1124	1269.6	5.86005e+09	5.66905e+06	2.01056	30.1694	0	0	0	0.454515	0.358497	0.186988	0	6	
11250	1125	1269.5	5.85948e+09	5.66924e+06	2.01056	30.1694	0	0	0	0.454543	0.358453	0.187004	0	6	
11260	1126	1269.4	5.85892e+09	5.66943e+06	2.01056	30.1694	0	0	0	0.454571	0.35841	0.18702	0	6	
11270	1127	1269.3	5.85836e+09	5.66962e+06	2.01056	30.1694	0	0	0	0.454598	0.358366	0.187035	0	8	
11280	1128	1269.2	5.85779e+09	5.66981e+06	2.01056	30.1694	0	0	0	0.454626	0.358323	0.187051	0	8	
11290	1129	1269.1	5.85722e+09	5.67001e+06	2.01056	30.1694	0	0	0	0.454654	0.358279	0.187067	0	9	
11300	1130	1269	5.85665e+09	5.6702e+06	2.01056	30.1694	0	0	0	0.454681	0.358235	0.187083	0	7	
11310	1131	1268.9	5.85609e+09	5.6704e+06	2.01056	30.1694	0	0	0	0.454709	0.358191	0.187099	0	6	
11320	1132	1268.8	5.85552e+09	5.6706e+06	2.01056	30.1694	0	0	0	0.454737	0.358148	0.187115	0	6	
11330	1133	1268.7	5.85495e+09	5.67079e+06	2.01056	30.1694	0	0	0	0.454764	0.358104	0.187131	0	6	
11340	1134	1268.6	5.85438e+09	5.67099e+06	2.01056	30.1694	0	0	0	0.454792	0.35806	0.187147	0	6	
11350	1135	1268.5	5.85382e+09	5.67119e+06	2.01056	30.1694	0	0	0	0.45482	0.358017	0.187163	0	6	
11360	1136	1268.4	5.85325e+09	5.67138e+06	2.01056	30.1694	0	0	0	0.454847	0.357973	0.187179	0	5	
11370	1137	1268.3	5.85269e+09	5.67158e+06	2.01056	30.1694	0	0	0	0.454875	0.35793	0.187195	0	4	
11380	1138	1268.2	5.85212e+09	5.67178e+06	2.01056	30.1694	0	0	0	0.454903	0.357886	0.187211	0	9	
11390	1139	1268.1	5.85156e+09	5.67198e+06	2.01056	30.1694	0	0	0	0.45493	0.357842	0.187227	0	6	
11400	1140	1268	5.85099e+09	5.67218e+06	2.01056	30.1694	0	0	0	0.454958	0.357799	0.187243	0	5	
11410	1141	1267.9	5.85042e+09	5.67238e+06	2.01056	30.1694	0	0	0	0.454986	0.357755	0.187259	0	6	
11420	1142	1267.8	5.84985e+09	5.67258e+06	2.01056	30.1694	0	0	0	0.455014	0.357711	0.187275	0	8	
11430	1143	1267.7	5.84928e+09	5.67274e+06	2.01056	30.1694	0	0	0	0.455042	0.357667	0.187291	0	8	
11440	1144	1267.6	5.84871e+09	5.67294e+06	2.01056	30.1694	0	0	0	0.455069	0.357623	0.187307	0	5	
11450	1145	1267.5	5.84814e+09	5.67314e+06	2.01056	30.1694	0	0	0	0.455097	0.357579	0.187323	0	5	
11460	1146	1267.4	5.84757e+09	5.67334e+06	2.01056	30.1694	0	0	0	0.455125	0.357536	0.187339	0	6	
11470	1147	1267.3	5.84701e+09	5.67354e+06	2.01056	30.1694	0	0	0	0.455152	0.357492	0.187355	0	5	
11480	1148	1267.2	5.84644e+09	5.67374e+06	2.01056	30.1694	0	0	0	0.45518	0.357449	0.187371	0	8	
