Temps	vA	vM
1868.9	0.00199734	0.00600266
1869	0.00199733	0.00600267
1869.1	0.00199732	0.00600268
1869.2	0.00199731	0.00600269
1869.3	0.00199731	0.00600269
1869.4	0.00199731	0.00600269
1869.5	0.00199729	0.00600271
1869.6	0.00199728	0.00600272
1869.7	0.00199727	0.00600273
1869.8	0.00199725	0.00600275
1869.9	0.00199723	0.00600277
1870	0.00199722	0.00600278
1870.1	0.00199721	0.00600279
1870.2	0.00199718	0.00600282
1870.3	0.00199716	0.00600284
1870.4	0.00199715	0.00600285
1870.5	0.00199714	0.00600286
1870.6	0.00199712	0.00600288
1870.7	0.00199711	0.00600289
1870.8	0.00199712	0.00600288
1870.9	0.00199711	0.00600289
1871	0.00199709	0.00600291
1871.1	0.00199709	0.00600291
1871.2	0.00199708	0.00600292
1871.3	0.00199707	0.00600293
1871.4	0.00199706	0.00600294
1871.5	0.00199706	0.00600294
1871.6	0.00199706	0.00600294
1871.7	0.00199705	0.00600295
1871.8	0.00199705	0.00600295
1871.9	0.00199705	0.00600295
1872	0.00199703	0.00600297
1872.1	0.00199702	0.00600298
1872.2	0.00199702	0.00600298
1872.3	0.001997	0.006003
1872.4	0.00199699	0.00600301
1872.5	0.00199697	0.00600303
1872.6	0.00199697	0.00600303
1872.7	0.00199696	0.00600304
1872.8	0.00199694	0.00600306
1872.9	0.00199693	0.00600307
1873	0.00199693	0.00600307
1873.1	0.00199692	0.00600308
1873.2	0.00199691	0.00600309
1873.3	0.00199691	0.00600309
1873.4	0.00199691	0.00600309
1873.5	0.0019969	0.0060031
1873.6	0.00199689	0.00600311
1873.7	0.00199689	0.00600311
1873.8	0.00199688	0.00600312
1873.9	0.00199686	0.00600314
1874	0.00199684	0.00600316
1874.1	0.00199683	0.00600317
1874.2	0.0019968	0.0060032
1874.3	0.00199678	0.00600322
1874.4	0.00199677	0.00600323
1874.5	0.00199676	0.00600324
1874.6	0.00199674	0.00600326
1874.7	0.00199673	0.00600327
1874.8	0.00199672	0.00600328
1874.9	0.00199672	0.00600328
1875	0.0019967	0.0060033
1875.1	0.0019967	0.0060033
1875.2	0.0019967	0.0060033
1875.3	0.00199669	0.00600331
1875.4	0.00199669	0.00600331
1875.5	0.00199669	0.00600331
1875.6	0.00199669	0.00600331
1875.7	0.00199667	0.00600333
1875.8	0.00199665	0.00600335
1875.9	0.00199666	0.00600334
1876	0.00199664	0.00600336
1876.1	0.00199663	0.00600337
1876.2	0.00199663	0.00600337
1876.3	0.00199662	0.00600338
1876.4	0.00199661	0.00600339
1876.5	0.0019966	0.0060034
1876.6	0.0019966	0.0060034
1876.7	0.00199659	0.00600341
1876.8	0.00199658	0.00600342
1876.9	0.00199658	0.00600342
1877	0.00199657	0.00600343
1877.1	0.00199655	0.00600345
1877.2	0.00199654	0.00600346
1877.3	0.00199654	0.00600346
1877.4	0.00199654	0.00600346
1877.5	0.00199651	0.00600349
1877.6	0.0019965	0.0060035
1877.7	0.0019965	0.0060035
1877.8	0.00199648	0.00600352
1877.9	0.00199645	0.00600355
1878	0.00199645	0.00600355
1878.1	0.00199644	0.00600356
1878.2	0.00199642	0.00600358
1878.3	0.0019964	0.0060036
1878.4	0.0019964	0.0060036
1878.5	0.00199639	0.00600361
1878.6	0.00199636	0.00600364
1878.7	0.00199635	0.00600365
1878.8	0.00199635	0.00600365
1878.9	0.00199634	0.00600366
1879	0.00199633	0.00600367
1879.1	0.00199632	0.00600368
1879.2	0.00199633	0.00600367
1879.3	0.00199631	0.00600369
1879.4	0.0019963	0.0060037
1879.5	0.0019963	0.0060037
1879.6	0.00199629	0.00600371
1879.7	0.00199627	0.00600373
1879.8	0.00199626	0.00600374
1879.9	0.00199626	0.00600374
1880	0.00199625	0.00600375
1880.1	0.00199623	0.00600377
1880.2	0.00199624	0.00600376
1880.3	0.00199623	0.00600377
1880.4	0.00199621	0.00600379
1880.5	0.0019962	0.0060038
1880.6	0.0019962	0.0060038
1880.7	0.00199619	0.00600381
1880.8	0.00199617	0.00600383
1880.9	0.00199616	0.00600384
1881	0.00199616	0.00600384
1881.1	0.00199615	0.00600385
1881.2	0.00199613	0.00600387
1881.3	0.00199614	0.00600386
1881.4	0.00199613	0.00600387
1881.5	0.00199612	0.00600388
1881.6	0.00199612	0.00600388
1881.7	0.00199613	0.00600387
1881.8	0.00199612	0.00600388
1881.9	0.00199612	0.00600388
1882	0.00199613	0.00600387
1882.1	0.00199614	0.00600386
1882.2	0.00199613	0.00600387
1882.3	0.00199612	0.00600388
1882.4	0.00199612	0.00600388
1882.5	0.00199612	0.00600388
1882.6	0.00199609	0.00600391
1882.7	0.00199609	0.00600391
1882.8	0.00199609	0.00600391
1882.9	0.00199607	0.00600393
1883	0.00199606	0.00600394
1883.1	0.00199605	0.00600395
1883.2	0.00199605	0.00600395
1883.3	0.00199602	0.00600398
1883.4	0.00199601	0.00600399
1883.5	0.00199601	0.00600399
1883.6	0.00199599	0.00600401
1883.7	0.00199597	0.00600403
1883.8	0.00199596	0.00600404
1883.9	0.00199596	0.00600404
1884	0.00199595	0.00600405
1884.1	0.00199593	0.00600407
1884.2	0.00199593	0.00600407
1884.3	0.00199594	0.00600406
1884.4	0.00199593	0.00600407
1884.5	0.00199593	0.00600407
1884.6	0.00199593	0.00600407
1884.7	0.00199593	0.00600407
1884.8	0.00199591	0.00600409
1884.9	0.0019959	0.0060041
1885	0.00199591	0.00600409
1885.1	0.00199589	0.00600411
1885.2	0.00199588	0.00600412
1885.3	0.00199587	0.00600413
