Temps	vA	vM	mMpct	msoluteM_pct
1861	0.00199806	0.00600194	0.032725649	0.036686649
1861.1	0.00199803	0.00600197	0.032959404	0.036686649
1861.2	0.00199802	0.00600198	0.033193158	0.037467216
1861.3	0.00199801	0.00600199	0.033426913	0.037467216
1861.4	0.001998	0.006002	0.033660668	0.037467216
1861.5	0.00199798	0.00600202	0.033894422	0.037467216
1861.6	0.00199798	0.00600202	0.033894422	0.037467216
1861.7	0.00199797	0.00600203	0.034128177	0.037467216
1861.8	0.00199796	0.00600204	0.034361932	0.038247783
1861.9	0.00199794	0.00600206	0.034595686	0.038247783
1862	0.00199793	0.00600207	0.034595686	0.038247783
1862.1	0.00199793	0.00600207	0.034829441	0.038247783
1862.2	0.00199791	0.00600209	0.035063196	0.03902835
1862.3	0.00199789	0.00600211	0.03529695	0.03902835
1862.4	0.00199788	0.00600212	0.035530705	0.03902835
1862.5	0.00199787	0.00600213	0.035764459	0.03902835
1862.6	0.00199786	0.00600214	0.035998214	0.039808917
1862.7	0.00199785	0.00600215	0.035998214	0.039808917
1862.8	0.00199785	0.00600215	0.035998214	0.039808917
1862.9	0.00199784	0.00600216	0.036231969	0.039808917
1863	0.00199783	0.00600217	0.036465723	0.040589484
1863.1	0.00199783	0.00600217	0.036465723	0.039808917
1863.2	0.00199782	0.00600218	0.036465723	0.039808917
1863.3	0.00199782	0.00600218	0.036699478	0.040589484
1863.4	0.00199781	0.00600219	0.036699478	0.040589484
1863.5	0.00199781	0.00600219	0.036699478	0.040589484
1863.6	0.0019978	0.0060022	0.036933233	0.040589484
1863.7	0.00199779	0.00600221	0.037166987	0.040589484
1863.8	0.00199778	0.00600222	0.037166987	0.040589484
1863.9	0.00199778	0.00600222	0.037166987	0.040589484
1864	0.00199776	0.00600224	0.037634497	0.041370051
1864.1	0.00199774	0.00600226	0.037868251	0.041370051
1864.2	0.00199774	0.00600226	0.037868251	0.041370051
1864.3	0.00199773	0.00600227	0.038102006	0.041370051
1864.4	0.00199771	0.00600229	0.03833576	0.042150618
1864.5	0.0019977	0.0060023	0.038569515	0.042150618
1864.6	0.00199769	0.00600231	0.03880327	0.042150618
1864.7	0.00199768	0.00600232	0.039037024	0.042931185
1864.8	0.00199767	0.00600233	0.039037024	0.042931185
1864.9	0.00199766	0.00600234	0.039270779	0.042931185
1865	0.00199766	0.00600234	0.039270779	0.042931185
1865.1	0.00199764	0.00600236	0.039504534	0.042931185
1865.2	0.00199763	0.00600237	0.039738288	0.043711752
1865.3	0.00199763	0.00600237	0.039738288	0.043711752
1865.4	0.00199763	0.00600237	0.039738288	0.043711752
1865.5	0.00199762	0.00600238	0.039972043	0.043711752
1865.6	0.00199762	0.00600238	0.039972043	0.043711752
1865.7	0.00199762	0.00600238	0.039972043	0.043711752
1865.8	0.00199761	0.00600239	0.039972043	0.043711752
1865.9	0.00199759	0.00600241	0.040439552	0.043711752
1866	0.0019976	0.0060024	0.040205798	0.043711752
1866.1	0.00199759	0.00600241	0.040439552	0.043711752
1866.2	0.00199757	0.00600243	0.040673307	0.044492319
1866.3	0.00199756	0.00600244	0.040907061	0.044492319
1866.4	0.00199756	0.00600244	0.040907061	0.044492319
1866.5	0.00199755	0.00600245	0.041140816	0.044492319
1866.6	0.00199753	0.00600247	0.041374571	0.045272886
1866.7	0.00199753	0.00600247	0.041374571	0.045272886
1866.8	0.00199753	0.00600247	0.041374571	0.045272886
1866.9	0.00199752	0.00600248	0.041608325	0.045272886
1867	0.00199751	0.00600249	0.04184208	0.045272886
1867.1	0.00199751	0.00600249	0.04184208	0.045272886
1867.2	0.0019975	0.0060025	0.04184208	0.045272886
1867.3	0.00199749	0.00600251	0.042075835	0.046053453
1867.4	0.00199748	0.00600252	0.042309589	0.046053453
1867.5	0.00199747	0.00600253	0.042309589	0.046053453
1867.6	0.00199747	0.00600253	0.042543344	0.046053453
1867.7	0.00199744	0.00600256	0.042777099	0.046053453
1867.8	0.00199744	0.00600256	0.043010853	0.04683402
1867.9	0.00199744	0.00600256	0.043010853	0.04683402
1868	0.00199742	0.00600258	0.043244608	0.04683402
1868.1	0.00199741	0.00600259	0.043478363	0.04683402
1868.2	0.0019974	0.0060026	0.043478363	0.04683402
1868.3	0.00199739	0.00600261	0.043712117	0.047614587
1868.4	0.00199738	0.00600262	0.043945872	0.047614587
1868.5	0.00199737	0.00600263	0.044179626	0.047614587
1868.6	0.00199737	0.00600263	0.044179626	0.047614587
1868.7	0.00199735	0.00600265	0.044413381	0.047614587
1868.8	0.00199733	0.00600267	0.044647136	0.048395154
1868.9	0.00199734	0.00600266	0.044647136	0.048395154
1869	0.00199733	0.00600267	0.044647136	0.048395154
1869.1	0.00199732	0.00600268	0.04488089	0.048395154
1869.2	0.00199731	0.00600269	0.045114645	0.048395154
1869.3	0.00199731	0.00600269	0.045114645	0.048395154
