Temps	mMpct	msoluteM_pct
1500	0	0
1850	0	0
1850.1	0	0.004683402
1850.2	0	0.004683402
1850.3	0	0.004683402
1850.4	0	0.004683402
1850.5	0.000233755	0.004683402
1850.6	0.000701264	0.004683402
1850.7	0.000935019	0.005463969
1850.8	0.001402528	0.005463969
1850.9	0.002337546	0.006244536
1851	0.003272565	0.007025103
1851.1	0.003973829	0.00780567
1851.2	0.004908847	0.008586237
1851.3	0.005610111	0.009366804
1851.4	0.006311375	0.010147371
1851.5	0.006778884	0.010927938
1851.6	0.007246394	0.010927938
1851.7	0.008181412	0.011708505
1851.8	0.009116431	0.013269639
1851.9	0.009350185	0.013269639
1852	0.009817695	0.013269639
1852.1	0.010285204	0.014050206
1852.2	0.010986468	0.014830773
1852.3	0.011453977	0.014830773
1852.4	0.011921486	0.01561134
1852.5	0.012155241	0.01561134
1852.6	0.012155241	0.016391907
1852.7	0.012388996	0.016391907
1852.8	0.01262275	0.016391907
1852.9	0.01309026	0.016391907
1853	0.013557769	0.017172474
1853.1	0.014259033	0.017953041
1853.2	0.014960297	0.018733608
1853.3	0.015427806	0.018733608
1853.4	0.015895315	0.019514175
1853.5	0.015895315	0.019514175
1853.6	0.015895315	0.019514175
1853.7	0.01612907	0.019514175
1853.8	0.01612907	0.020294742
1853.9	0.016362825	0.020294742
1854	0.016362825	0.020294742
1854.1	0.016596579	0.020294742
1854.2	0.016830334	0.020294742
1854.3	0.017064089	0.021075309
1854.4	0.017297843	0.021075309
1854.5	0.017531598	0.021075309
1854.6	0.017765352	0.021855876
1854.7	0.017999107	0.021855876
1854.8	0.018232862	0.021855876
1854.9	0.018466616	0.021855876
1855	0.018466616	0.022636443
1855.1	0.018934126	0.022636443
1855.2	0.01916788	0.022636443
1855.3	0.01963539	0.02341701
1855.4	0.019869144	0.02341701
1855.5	0.020336653	0.024197577
1855.6	0.020570408	0.024197577
1855.7	0.020804163	0.024978144
1855.8	0.021037917	0.024978144
1855.9	0.021037917	0.024978144
1856	0.021271672	0.024978144
1856.1	0.021271672	0.024978144
1856.2	0.021505427	0.024978144
1856.3	0.021972936	0.025758711
1856.4	0.022206691	0.025758711
1856.5	0.022440445	0.026539278
1856.6	0.0226742	0.026539278
1856.7	0.022907954	0.026539278
1856.8	0.023141709	0.026539278
1856.9	0.023141709	0.026539278
1857	0.023375464	0.027319845
1857.1	0.023609218	0.027319845
1857.2	0.023842973	0.027319845
1857.3	0.024076728	0.028100412
1857.4	0.024310482	0.028100412
1857.5	0.024544237	0.028100412
1857.6	0.024777992	0.028100412
1857.7	0.025011746	0.028880979
1857.8	0.025245501	0.028880979
1857.9	0.025479255	0.028880979
1858	0.02571301	0.029661546
1858.1	0.025946765	0.029661546
1858.2	0.026180519	0.029661546
1858.3	0.026648029	0.030442113
1858.4	0.026881783	0.030442113
1858.5	0.026881783	0.030442113
1858.6	0.027115538	0.03122268
1858.7	0.027349293	0.03122268
1858.8	0.027349293	0.03122268
1858.9	0.027583047	0.03122268
1859	0.027816802	0.032003247
1859.1	0.028050556	0.032003247
