avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 790 0.200981 8.94014 80.1125 
1.8 27 795 0.200981 8.93892 79.9179 
1.8 27 800 0.20098 8.9377 79.7234 
1.8 27 805 0.200978 8.93649 79.5292 
1.8 27 810 0.200974 8.93528 79.3352 
1.8 27 815 0.200968 8.93407 79.1414 
1.8 27 820 0.20096 8.93286 78.948 
1.8 27 825 0.20095 8.93165 78.7548 
1.8 27 830 0.200938 8.93044 78.5619 
1.8 27 835 0.200924 8.92924 78.3694 
1.8 27 840 0.200908 8.92804 78.1772 
1.8 27 845 0.20089 8.92684 77.9854 
1.8 27 850 0.200869 8.92564 77.794 
1.8 27 855 0.200846 8.92445 77.6029 
1.8 27 860 0.200821 8.92326 77.4124 
1.8 27 865 0.200793 8.92207 77.2222 
1.8 27 870 0.20028 8.92134 77.1056 
1.8 27 875 0.199275 8.9211 77.0677 
1.8 27 880 0.198377 8.92079 77.0172 
1.8 27 885 0.197561 8.92041 76.9559 
1.8 27 890 0.196808 8.91997 76.8855 
1.8 27 895 0.196104 8.91948 76.8072 
1.8 27 900 0.195437 8.91894 76.7222 
1.8 27 905 0.194801 8.91838 76.6312 
1.8 27 910 0.194188 8.91778 76.5351 
1.8 27 915 0.193594 8.91715 76.4344 
1.8 27 920 0.193014 8.91649 76.3296 
1.8 27 925 0.192445 8.91581 76.2213 
1.8 27 930 0.191885 8.91512 76.1098 
1.8 27 935 0.19133 8.9144 75.9955 
1.8 27 940 0.19078 8.91367 75.8787 
1.8 27 945 0.190231 8.91293 75.7596 
1.8 27 950 0.189684 8.91217 75.6385 
1.8 27 955 0.189137 8.9114 75.5157 
1.8 27 960 0.188589 8.91063 75.3913 
1.8 27 965 0.188038 8.90984 75.2654 
1.8 27 970 0.187485 8.90905 75.1384 
1.8 27 975 0.186929 8.90824 75.0102 
1.8 27 980 0.186368 8.90744 74.8811 
1.8 27 985 0.185803 8.90662 74.7512 
1.8 27 990 0.185232 8.90581 74.6205 
1.8 27 995 0.184656 8.90499 74.4893 
1.8 27 1000 0.184074 8.90416 74.3575 
1.8 27 1005 0.183486 8.90334 74.2254 
1.8 27 1010 0.182891 8.90251 74.0929 
1.8 27 1015 0.182288 8.90168 73.9602 
1.8 27 1020 0.181679 8.90085 73.8273 
1.8 27 1025 0.181062 8.90002 73.6944 
1.8 27 1030 0.180438 8.89919 73.5614 
1.8 27 1035 0.179805 8.89836 73.4284 
1.8 27 1040 0.179164 8.89753 73.2956 
1.8 27 1045 0.178515 8.8967 73.1629 
1.8 27 1050 0.177857 8.89587 73.0304 
1.8 27 1055 0.17719 8.89504 72.8982 
1.8 27 1060 0.176514 8.89422 72.7663 
1.8 27 1065 0.175829 8.8934 72.6347 
1.8 27 1070 0.175134 8.89258 72.5035 
1.8 27 1075 0.17443 8.89176 72.3727 
1.8 27 1080 0.173717 8.89094 72.2424 
1.8 27 1085 0.172993 8.89013 72.1127 
1.8 27 1090 0.17226 8.88933 71.9834 
1.8 27 1095 0.171516 8.88852 71.8547 
1.8 27 1100 0.170762 8.88772 71.7266 
1.8 27 1105 0.169998 8.88692 71.5992 
1.8 27 1110 0.169224 8.88613 71.4724 
1.8 27 1115 0.168438 8.88534 71.3462 
1.8 27 1120 0.167643 8.88456 71.2208 
1.8 27 1125 0.166836 8.88378 71.0961 
1.8 27 1130 0.166018 8.883 70.9721 
1.8 27 1135 0.165189 8.88223 70.8489 
1.8 27 1140 0.16435 8.88147 70.7265 
1.8 27 1145 0.163499 8.88071 70.6049 
1.8 27 1150 0.162636 8.87995 70.484 
1.8 27 1155 0.161762 8.8792 70.364 
1.8 27 1160 0.160877 8.87846 70.2449 
1.8 27 1165 0.15998 8.87772 70.1266 
1.8 27 1170 0.159072 8.87699 70.0092 
1.8 27 1175 0.158152 8.87626 69.8926 
1.8 27 1180 0.15722 8.87553 69.7769 
1.8 27 1185 0.156276 8.87482 69.6622 
1.8 27 1190 0.15532 8.8741 69.5483 
1.8 27 1195 0.154353 8.8734 69.4353 
1.8 27 1200 0.153373 8.8727 69.3233 
1.8 27 1205 0.152382 8.872 69.2122 
1.8 27 1210 0.151378 8.87131 69.102 
1.8 27 1215 0.150362 8.87063 68.9927 
1.8 27 1220 0.149334 8.86995 68.8844 
1.8 27 1225 0.148294 8.86928 68.777 
1.8 27 1230 0.147241 8.86862 68.6705 
1.8 27 1235 0.146176 8.86796 68.565 
1.8 27 1240 0.145099 8.8673 68.4605 
1.8 27 1245 0.14401 8.86666 68.3569 
1.8 27 1250 0.142908 8.86602 68.2542 
1.8 27 1255 0.141794 8.86538 68.1525 
1.8 27 1260 0.140668 8.86475 68.0517 
1.8 27 1265 0.13953 8.86413 67.9518 
1.8 27 1270 0.138379 8.86351 67.853 
1.8 27 1275 0.137216 8.8629 67.755 
1.8 27 1280 0.13604 8.86229 67.658 
1.8 27 1285 0.134852 8.86169 67.5619 
1.8 27 1290 0.133652 8.86109 67.4668 
1.8 27 1295 0.00585524 8.85745 66.8841 
1.8 27 1300 0 8.85566 66.5968 
1.8 27 1305 0 8.8541 66.3472 
1.8 27 1310 0 8.85249 66.091 
1.8 27 1315 0 8.85074 65.8098 
1.8 27 1320 0 8.84825 65.4117 
1.8 27 1325 0 8.8457 65.0035 
1.8 27 1330 0 8.84308 64.5842 
1.8 27 1335 0 8.84075 64.2113 
1.8 27 1340 0 8.84005 64.1008 
1.8 27 1345 0 8.83938 63.9921 
1.8 27 1350 0 8.83871 63.8852 
1.8 27 1355 0 8.83804 63.7778 
1.8 27 1360 0 8.83735 63.6678 
1.8 27 1365 0 8.83666 63.5583 
1.8 27 1370 0 8.83598 63.4493 
1.8 27 1375 0 8.8353 63.3407 
1.8 27 1380 0 8.83463 63.2327 
1.8 27 1385 0 8.83396 63.1251 
1.8 27 1390 0 8.83329 63.018 
1.8 27 1395 0 8.83262 62.9114 
1.8 27 1400 0 8.83196 62.8053 
1.8 27 1405 0 8.8313 62.6997 
1.8 27 1410 0 8.83064 62.5945 
1.8 27 1415 0 8.82999 62.4899 
1.8 27 1420 0 8.82933 62.3857 
1.8 27 1425 0 8.82869 62.282 
1.8 27 1430 0 8.82804 62.1787 
1.8 27 1435 0 8.8274 62.076 
1.8 27 1440 0 8.82676 61.9737 
1.8 27 1445 0 8.82612 61.8719 
1.8 27 1450 0 8.82549 61.7706 
1.8 27 1455 0 8.82486 61.6698 
1.8 27 1460 0 8.82423 61.5694 
1.8 27 1465 0 8.82361 61.4695 
1.8 27 1470 0 8.82299 61.3701 
1.8 27 1475 0 8.82237 61.2712 
1.8 27 1480 0 8.82175 61.1727 
1.8 27 1485 0 8.82114 61.0747 
1.8 27 1490 0 8.82053 60.9772 
1.8 27 1495 0 8.81992 60.8801 
1.8 27 1500 0 8.81932 60.7836 
1.8 27 1505 0 8.81872 60.6875 
1.8 27 1510 0 8.81812 60.5918 
1.8 27 1515 0 8.81753 60.4966 
1.8 27 1520 0 8.81694 60.4019 
1.8 27 1525 0 8.81635 60.3077 
1.8 27 1530 0 8.81576 60.2139 
1.8 27 1535 0 8.81518 60.1206 
1.8 27 1540 0 8.8146 60.0277 
1.8 27 1545 0 8.81402 59.9354 
1.8 27 1550 0 8.81344 59.8434 
1.8 27 1555 0 8.81287 59.752 
1.8 27 1560 0 8.8123 59.661 
1.8 27 1565 0 8.81174 59.5704 
1.8 27 1570 0 8.81117 59.4803 
