pos1	pos2	pos3	pos4	pos5	pos6
0.935137	1	1	1	1	1	
0.93311	1	1	1	1	1	
0.93108	1	1	1	1	1	
0.92905	1	1	1	1	1	
0.927043	1	1	1	1	1	
0.925041	1	1	1	1	1	
0.923041	1	1	1	1	1	
0.921041	1	1	1	1	1	
0.919042	1	1	1	1	1	
0.917049	1	1	1	1	1	
0.9158	1	1	1	1	1	
0.91477	1	1	1	1	1	
0.913787	1	1	1	1	1	
0.9128	1	1	1	1	1	
0.911793	1	1	1	1	1	
0.910764	1	1	1	1	1	
0.909713	1	1	1	1	1	
0.908641	1	1	1	1	1	
0.907555	1	1	1	1	1	
0.906471	1	1	1	1	1	
0.905377	1	1	1	1	1	
0.904271	1	1	1	1	1	
0.903152	1	1	1	1	1	
0.902021	1	1	1	1	1	
0.900878	1	1	1	1	1	
0.899724	1	1	1	1	1	
0.898558	1	1	1	1	1	
0.897382	1	1	1	1	1	
0.896197	1	1	1	1	1	
0.894985	1	1	1	1	1	
0.893754	1	1	1	1	1	
0.892512	1	1	1	1	1	
0.891261	1	1	1	1	1	
0.890003	1	1	1	1	1	
0.888737	1	1	1	1	1	
0.887464	1	1	1	1	1	
0.886205	1	1	1	1	1	
0.884953	1	1	1	1	1	
0.883699	1	1	1	1	1	
0.88244	1	1	1	1	1	
0.881178	1	1	1	1	1	
0.87991	1	1	1	1	1	
0.878637	1	1	1	1	1	
0.877359	1	1	1	1	1	
0.876077	1	1	1	1	1	
0.874766	1	1	1	1	1	
0.873445	1	1	1	1	1	
0.872118	1	1	1	1	1	
0.870788	1	1	1	1	1	
0.869453	1	1	1	1	1	
0.868115	1	1	1	1	1	
0.866786	1	1	1	1	1	
0.865473	1	1	1	1	1	
0.864163	1	1	1	1	1	
0.862852	1	1	1	1	1	
0.861539	1	1	1	1	1	
0.860224	1	1	1	1	1	
0.858906	1	1	1	1	1	
0.857586	1	1	1	1	1	
0.856251	1	1	1	1	1	
0.854899	1	1	1	1	1	
0.853541	1	1	1	1	1	
0.852181	1	1	1	1	1	
0.850818	1	1	1	1	1	
0.849508	1	1	1	1	1	
0.848311	1	1	1	1	1	
0.847231	1	1	1	1	1	
0.846222	1	1	1	1	1	
0.845256	1	1	1	1	1	
0.844315	1	1	1	1	1	
0.843387	1	1	1	1	1	
0.842467	1	1	1	1	1	
0.841549	1	1	1	1	1	
0.840631	1	1	1	1	1	
0.839711	1	1	1	1	1	
0.838789	1	1	1	1	1	
0.837861	1	1	1	1	1	
0.836916	1	1	1	1	1	
0.835965	1	1	1	1	1	
0.835011	1	1	1	1	1	
0.834053	1	1	1	1	1	
0.833091	1	1	1	1	1	
0.832127	1	1	1	1	1	
0.831158	1	1	1	1	1	
0.830186	1	1	1	1	1	
0.829225	1	1	1	1	1	
0.828263	1	1	1	1	1	
0.827298	1	1	1	1	1	
0.826331	1	1	1	1	1	
0.82536	1	1	1	1	1	
0.824386	1	1	1	1	1	
0.823408	1	1	1	1	1	
0.822428	1	1	1	1	1	
0.821446	1	1	1	1	1	
0.82046	1	1	1	1	1	
0.819457	1	1	1	1	1	
0.818448	1	1	1	1	1	
0.817437	1	1	1	1	1	
0.816424	1	1	1	1	1	
0.81541	1	1	1	1	1	
0.814394	1	1	1	1	1	
0.813374	1	1	1	1	1	
0.812357	1	1	1	1	1	
0.81135	1	1	1	1	1	
0.810343	1	1	1	1	1	
0.809335	1	1	1	1	1	
0.808326	1	1	1	1	1	
0.807315	1	1	1	1	1	
0.806302	1	1	1	1	1	
0.805288	1	1	1	1	1	
0.804272	1	1	1	1	1	
0.803251	1	1	1	1	1	
0.802216	1	1	1	1	1	
0.801177	1	1	1	1	1	
0.800138	1	1	1	1	1	
0.799098	1	1	1	1	1	
0.798058	1	1	1	1	1	
0.797015	1	1	1	1	1	
0.795968	1	1	1	1	1	
0.794936	1	1	1	1	1	
0.793913	1	1	1	1	1	
0.792909	1	1	1	1	1	
0.791938	1	1	1	1	1	
0.791001	1	1	1	1	1	
