TemperatureC,Vitesse:0,Vitesse:1,Vitesse:2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
104.881,-3.97568e-017,4.98988e-017,-1.252e-017,0,1.96045,29.8296,0.722254,0.00353704,0,0.274209,1,0.0051,-0.00297761,-0.00304722,0.0051,34,0
104.971,-2.66988e-017,5.90648e-017,1.4039e-017,0,1.96038,29.8276,0.722346,0.0034548,0,0.2742,1,0.00525,-0.00297761,-0.00304722,0.00525,35,0
105.061,-1.36409e-017,6.82308e-017,4.05978e-017,0,1.96031,29.8257,0.722438,0.00337256,0,0.27419,1,0.0054,-0.00297761,-0.00304722,0.0054,36,0
105.151,-4.48123e-018,6.5437e-017,6.95669e-017,0,1.96082,29.8295,0.722456,0.00328283,0,0.274261,1,0.00555,-0.00297761,-0.00304722,0.00555,37,0
105.241,1.85063e-017,4.23108e-017,7.66531e-017,0,1.96236,29.8438,0.722358,0.0031643,0,0.274478,1,0.0057,-0.00297761,-0.00304722,0.0057,38,0
105.33,-1.30266e-017,3.5452e-017,6.91627e-017,0,1.96298,29.8474,0.722347,0.00308961,0,0.274564,1,0.00585,-0.00297761,-0.00304722,0.00585,39,0
105.419,-3.30557e-017,6.99405e-018,4.12871e-017,0,1.96344,29.8516,0.722354,0.0030177,0,0.274628,1,0.006,-0.00297761,-0.00304722,0.006,40,0
105.507,-4.49525e-017,-3.27408e-017,4.15645e-018,0,1.96387,29.8565,0.722367,0.00294511,0,0.274688,1,0.00615,-0.00297761,-0.00304722,0.00615,41,0
105.596,-5.68493e-017,-7.24756e-017,-3.29742e-017,0,1.96429,29.8615,0.72238,0.00287253,0,0.274747,1,0.0063,-0.00297761,-0.00304722,0.0063,42,0
105.685,-6.87461e-017,-1.1221e-016,-7.01047e-017,0,1.96472,29.8665,0.722393,0.00279994,0,0.274807,1,0.00645,-0.00297761,-0.00304722,0.00645,43,0
105.773,-5.87826e-017,-1.34769e-016,-9.81387e-017,0,1.9647,29.8649,0.722456,0.00274021,0,0.274804,1,0.0066,-0.00297761,-0.00304722,0.0066,44,0
105.86,-3.49237e-017,-1.01501e-016,-5.10458e-017,0,1.9639,29.8551,0.722623,0.00268441,0,0.274692,1,0.00675,-0.00297761,-0.00304722,0.00675,45,0
105.947,-1.10648e-017,-6.82325e-017,-3.95266e-018,0,1.9631,29.8453,0.722791,0.00262861,0,0.27458,1,0.0069,-0.00297761,-0.00304722,0.0069,46,0
106.035,1.27941e-017,-3.49643e-017,4.31403e-017,0,1.9623,29.8355,0.722958,0.00257282,0,0.274469,1,0.00705,-0.00297761,-0.00304722,0.00705,47,0
106.122,3.6653e-017,-1.69587e-018,9.02334e-017,0,1.9615,29.8257,0.723126,0.00251702,0,0.274357,1,0.0072,-0.00297761,-0.00304722,0.0072,48,0
106.209,6.05969e-017,3.1279e-017,1.35604e-016,0,1.96074,29.8163,0.723287,0.00246142,0,0.274251,1,0.00735,-0.00297761,-0.00304722,0.00735,49,0
106.296,7.6122e-017,6.20886e-017,1.52099e-016,0,1.96064,29.8132,0.723365,0.0023987,0,0.274236,1,0.0075,-0.00297761,-0.00304722,0.0075,50,0
106.382,8.1418e-017,3.71168e-017,1.48271e-016,0,1.96049,29.8113,0.723436,0.00234807,0,0.274215,1,0.00765,-0.00297761,-0.00304722,0.00765,51,0
106.468,9.37736e-017,1.43276e-017,1.44685e-016,0,1.96144,29.8178,0.723359,0.00229193,0,0.274348,1,0.0078,-0.00297761,-0.00304722,0.0078,52,0
106.554,8.10644e-017,-1.36317e-017,8.96835e-017,0,1.96225,29.8245,0.723291,0.00224727,0,0.274462,1,0.00795,-0.00297761,-0.00304722,0.00795,53,0
