TemperatureC,Vitesse0,Vitesse1,Vitesse2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__
104.792,-5.33999e-018,3.72376e-017,-6.29835e-017,0,1.9555,29.8185,0.722458,0.00402309,0,0.273518,1,0.00495,-4.49829e-007,5.49946e-007,0.00495,33,0
104.882,-2.55456e-017,2.94412e-017,1.32624e-017,0,1.9542,29.8073,0.722656,0.00400692,0,0.273336,1,0.0051,-4.49829e-007,5.49946e-007,0.0051,34,0
104.972,-4.12326e-017,1.78348e-017,5.49511e-017,0,1.9531,29.7992,0.722822,0.00399537,0,0.273182,1,0.00525,-4.49829e-007,5.49946e-007,0.00525,35,0
105.062,-5.1946e-017,2.03489e-018,5.86022e-017,0,1.95222,29.7944,0.722951,0.00398891,0,0.27306,1,0.0054,-4.49829e-007,5.49946e-007,0.0054,36,0
105.152,-6.26595e-017,-1.37651e-017,6.22534e-017,0,1.95135,29.7897,0.72308,0.00398245,0,0.272937,1,0.00555,-4.49829e-007,5.49946e-007,0.00555,37,0
105.241,-4.60564e-017,-1.64022e-017,6.31674e-017,0,1.95061,29.7882,0.723176,0.00399045,0,0.272833,1,0.0057,-4.49829e-007,5.49946e-007,0.0057,38,0
105.33,-2.18129e-017,-1.53576e-017,6.3316e-017,0,1.9499,29.7877,0.723262,0.0040025,0,0.272735,1,0.00585,-4.49829e-007,5.49946e-007,0.00585,39,0
105.419,-4.29204e-018,-1.87839e-017,4.02977e-017,0,1.94926,29.7877,0.723343,0.00401162,0,0.272645,1,0.006,-4.49829e-007,5.49946e-007,0.006,40,0
105.509,-8.18211e-018,-3.64496e-017,-5.6506e-017,0,1.94881,29.7893,0.723406,0.00401146,0,0.272582,1,0.00615,-4.49829e-007,5.49946e-007,0.00615,41,0
105.597,-2.83258e-018,-3.58681e-017,-1.14783e-016,0,1.94801,29.7881,0.723504,0.00402662,0,0.27247,1,0.0063,-4.49829e-007,5.49946e-007,0.0063,42,0
105.685,1.23164e-017,-1.59337e-017,-1.32199e-016,0,1.94682,29.7841,0.723638,0.00405804,0,0.272304,1,0.00645,-4.49829e-007,5.49946e-007,0.00645,43,0
